1,"+","AT",20210101,20.00,13.00,10.00,0.00
2,"+","BE",20210101,21.00,12.00,6.00,0.00
3,"+","BG",20210101,20.00,9.00,0.00,0.00
4,"+","CY",20210101,19.00,9.00,5.00,0.00
5,"+","CZ",20210101,21.00,15.00,10.00,0.00
6,"+","DE",20210101,19.00,7.00,0.00,0.00
7,"+","DK",20210101,25.00,0.00,0.00,0.00
8,"+","EE",20210101,20.00,9.00,0.00,0.00
9,"+","EL",20210101,24.00,13.00,6.00,0.00
10,"+","ES",20210101,21.00,10.00,0.00,4.00
11,"+","FI",20210101,24.00,14.00,10.00,0.00
12,"+","FR",20210101,20.00,10.00,5.50,2.10
13,"+","HR",20210101,25.00,13.00,5.00,0.00
14,"+","HU",20210101,27.00,18.00,5.00,0.00
15,"+","IE",20210101,21.00,13.50,9.00,4.80
16,"+","IE",20210301,23.00,13.50,9.00,4.80
17,"+","IT",20210101,22.00,10.00,5.00,4.80
18,"+","LT",20210101,21.00,9.00,5.00,0.00
19,"+","LU",20210101,17.00,8.00,0.00,3.00
20,"+","LV",20210101,21.00,12.00,5.00,0.00
21,"+","MT",20210101,18.00,7.00,5.00,0.00
22,"+","NL",20210101,21.00,9.00,0.00,0.00
23,"+","PT",20210101,23.00,13.00,6.00,0.00
24,"+","RO",20210101,19.00,9.00,5.00,0.00
25,"+","SE",20210101,25.00,12.00,6.00,0.00
26,"+","SI",20210101,22.00,9.50,5.00,0.00
27,"+","SK",20210101,20.00,10.00,0.00,0.00
28,"+","UK",20210101,20.00,5.00,0.00,0.00

